日期,销量
2017-06-10,1349.0
2017-06-11,1379.0
2017-06-12,1338.0
2017-06-13,1432.0
2017-06-14,1501.0
2017-06-15,1484.0
2017-06-16,1496.0
2017-06-17,1406.0
2017-06-18,1438.0
2017-06-19,1491.0
2017-06-20,1517.0
2017-06-21,1422.0
2017-06-22,1348.0
2017-06-23,1389.0
2017-06-24,1370.0
2017-06-25,1335.0
2017-06-26,1353.0
2017-06-27,1385.0
2017-06-28,1390.0
2017-06-29,1403.0
2017-06-30,1453.0
2017-07-01,1372.0
2017-07-02,1457.0
2017-07-03,1397.0
2017-07-04,1335.0
2017-07-05,1255.0
2017-07-06,1316.0
2017-07-07,1299.0
2017-07-08,1248.0
2017-07-09,1275.0
2017-07-10,1244.0
2017-07-11,1280.0
2017-07-12,1374.0
2017-07-13,1276.0
2017-07-14,1349.0
2017-07-15,1428.0
2017-07-16,1445.0
2017-07-17,1505.0
2017-07-18,1423.0
2017-07-19,1520.0
2017-07-20,1583.0
2017-07-21,1549.0
2017-07-22,1532.0
2017-07-23,1506.0
2017-07-24,1591.0
2017-07-25,1632.0
2017-07-26,1623.0
2017-07-27,1573.0
2017-07-28,1671.0
2017-07-29,1620.0
2017-07-30,1715.0
2017-07-31,1711.0
2017-08-01,1655.0
2017-08-02,1739.0
2017-08-03,1708.0
2017-08-04,1761.0
2017-08-05,1826.0
2017-08-06,1859.0
2017-08-07,1764.0
2017-08-08,1812.0
2017-08-09,1909.0
2017-08-10,1819.0
2017-08-11,1891.0
2017-08-12,1817.0
2017-08-13,1766.0
2017-08-14,1695.0
2017-08-15,1789.0
2017-08-16,1713.0
2017-08-17,1696.0
2017-08-18,1716.0
2017-08-19,1775.0
2017-08-20,1800.0
2017-08-21,1715.0
2017-08-22,1713.0
2017-08-23,1750.0
2017-08-24,1732.0
2017-08-25,1655.0
2017-08-26,1623.0
2017-08-27,1627.0
2017-08-28,1602.0
2017-08-29,1523.0
2017-08-30,1484.0
2017-08-31,1415.0
2017-09-01,1381.0
2017-09-02,1377.0
2017-09-03,1415.0
2017-09-04,1459.0
2017-09-05,1401.0
2017-09-06,1483.0
2017-09-07,1387.0
2017-09-08,1386.0
2017-09-09,1290.0
2017-09-10,1302.0
2017-09-11,1303.0
2017-09-12,1209.0
2017-09-13,1187.0
2017-09-14,1210.0
2017-09-15,1306.0
2017-09-16,1289.0
2017-09-17,1231.0
2017-09-18,1155.0
2017-09-19,1230.0
2017-09-20,1137.0
2017-09-21,1204.0
2017-09-22,1255.0
2017-09-23,1316.0
2017-09-24,1397.0
2017-09-25,1396.0
2017-09-26,1345.0
2017-09-27,1398.0
2017-09-28,1349.0
2017-09-29,1342.0
2017-09-30,1355.0
2017-10-01,1450.0
2017-10-02,1473.0
2017-10-03,1394.0
2017-10-04,1475.0
2017-10-05,1491.0
2017-10-06,1544.0
2017-10-07,1454.0
2017-10-08,1436.0
2017-10-09,1472.0
2017-10-10,1386.0
2017-10-11,1378.0
2017-10-12,1460.0
2017-10-13,1426.0
2017-10-14,1331.0
2017-10-15,1233.0
2017-10-16,1314.0
2017-10-17,1320.0
2017-10-18,1282.0
2017-10-19,1188.0
2017-10-20,1193.0
2017-10-21,1152.0
2017-10-22,1185.0
2017-10-23,1157.0
2017-10-24,1072.0
2017-10-25,1081.0
2017-10-26,1121.0
2017-10-27,1218.0
2017-10-28,1204.0
2017-10-29,1264.0
2017-10-30,1172.0
2017-10-31,1183.0
2017-11-01,1194.0
2017-11-02,1097.0
2017-11-03,1115.0
2017-11-04,1114.0
2017-11-05,1051.0
2017-11-06,1043.0
2017-11-07,1042.0
2017-11-08,1049.0
2017-11-09,952.0
2017-11-10,890.0
2017-11-11,920.0
2017-11-12,918.0
2017-11-13,918.0
2017-11-14,890.0
2017-11-15,979.0
2017-11-16,917.0
2017-11-17,986.0
2017-11-18,971.0
2017-11-19,999.0
2017-11-20,1091.0
2017-11-21,1106.0
2017-11-22,1065.0
2017-11-23,1051.0
2017-11-24,1124.0
2017-11-25,1106.0
2017-11-26,1205.0
2017-11-27,1302.0
2017-11-28,1327.0
2017-11-29,1273.0
2017-11-30,1314.0
2017-12-01,1388.0
2017-12-02,1328.0
2017-12-03,1350.0
2017-12-04,1252.0
2017-12-05,1300.0
2017-12-06,1302.0
2017-12-07,1267.0
2017-12-08,1241.0
2017-12-09,1296.0
2017-12-10,1364.0
2017-12-11,1326.0
2017-12-12,1244.0
2017-12-13,1158.0
2017-12-14,1130.0
2017-12-15,1084.0
2017-12-16,1086.0
2017-12-17,1123.0
2017-12-18,1130.0
2017-12-19,1066.0
2017-12-20,1115.0
2017-12-21,1020.0
2017-12-22,945.0
2017-12-23,1013.0
2017-12-24,916.0
2017-12-25,890.0
2017-12-26,890.0
2017-12-27,890.0
2017-12-28,969.0
2017-12-29,932.0
2017-12-30,949.0
2017-12-31,901.0
